datum,hodina,proces,celkem,pozde
2026-08-15,6,6. BJ (LT),59,9
2026-08-15,6,7. BJ (ČS),24,5
2026-08-15,7,1. Pick,94,0
2026-08-15,7,2. Pack,94,0
2026-08-15,7,3. Sort,168,1
2026-08-15,7,4. EXP (ČS),398,2
2026-08-15,7,5. EXP (DLT),398,2
2026-08-15,7,6. BJ (LT),23,12
2026-08-15,7,7. BJ (ČS),65,29
2026-08-15,8,1. Pick,1246,6
2026-08-15,8,2. Pack,203,0
2026-08-15,8,3. Sort,40,1
2026-08-15,8,4. EXP (ČS),103,2
2026-08-15,8,5. EXP (DLT),27,0
2026-08-15,9,1. Pick,51,0
2026-08-15,9,2. Pack,1082,0
2026-08-15,9,3. Sort,1244,10
2026-08-15,9,4. EXP (ČS),50,5
2026-08-15,9,5. EXP (DLT),50,5
2026-08-15,9,6. BJ (LT),267,9
2026-08-15,9,7. BJ (ČS),16,9
2026-08-15,10,1. Pick,357,25
2026-08-15,10,2. Pack,359,0
2026-08-15,10,3. Sort,68,5
2026-08-15,10,4. EXP (ČS),1266,1
2026-08-15,10,5. EXP (DLT),1266,1
2026-08-15,10,7. BJ (ČS),251,3
2026-08-15,11,1. Pick,118,0
2026-08-15,11,2. Pack,118,0
2026-08-15,11,3. Sort,409,3
2026-08-15,11,4. EXP (ČS),77,1
2026-08-15,11,5. EXP (DLT),77,1
2026-08-15,11,6. BJ (LT),60,1
2026-08-15,12,1. Pick,585,14
2026-08-15,12,2. Pack,172,0
2026-08-15,12,3. Sort,51,6
2026-08-15,12,4. EXP (ČS),383,2
2026-08-15,12,5. EXP (DLT),459,3
2026-08-15,12,7. BJ (ČS),60,0
2026-08-15,13,1. Pick,40,0
2026-08-15,13,2. Pack,252,0
2026-08-15,13,3. Sort,346,2
2026-08-15,13,4. EXP (ČS),72,1
2026-08-15,13,5. EXP (DLT),65,1
2026-08-15,13,6. BJ (LT),36,17
2026-08-15,13,7. BJ (ČS),16,16
2026-08-15,14,1. Pick,5670,119
2026-08-15,14,2. Pack,1081,6
2026-08-15,14,3. Sort,84,3
2026-08-15,14,4. EXP (ČS),352,1
2026-08-15,14,5. EXP (DLT),1543,2
2026-08-15,14,7. BJ (ČS),21,0
2026-08-15,15,1. Pick,491,2
2026-08-15,15,2. Pack,4846,11
2026-08-15,15,3. Sort,5659,21
2026-08-15,15,4. EXP (ČS),65,2
2026-08-15,15,5. EXP (DLT),65,2
2026-08-15,15,6. BJ (LT),349,47
2026-08-15,16,1. Pick,29,0
2026-08-15,16,2. Pack,474,0
2026-08-15,16,3. Sort,519,2
2026-08-15,16,4. EXP (ČS),5649,18
2026-08-15,16,5. EXP (DLT),4634,11
2026-08-15,16,6. BJ (LT),22,8
2026-08-15,16,7. BJ (ČS),350,48
2026-08-15,17,1. Pick,41,1
2026-08-15,17,2. Pack,37,1
2026-08-15,17,3. Sort,206,14
2026-08-15,17,4. EXP (ČS),518,4
2026-08-15,17,5. EXP (DLT),1327,11
2026-08-15,17,6. BJ (LT),23,7
2026-08-15,17,7. BJ (ČS),20,6
2026-08-15,18,1. Pick,13,0
2026-08-15,18,2. Pack,14,0
2026-08-15,18,3. Sort,14,0
2026-08-15,18,4. EXP (ČS),181,7
2026-08-15,18,5. EXP (DLT),220,1
2026-08-15,18,7. BJ (ČS),24,8
2026-08-15,19,1. Pick,13,0
2026-08-15,19,2. Pack,16,0
2026-08-15,19,3. Sort,16,0
2026-08-15,19,4. EXP (ČS),18,0
2026-08-15,19,5. EXP (DLT),214,6
2026-08-15,20,1. Pick,3560,30
2026-08-15,20,2. Pack,2412,17
2026-08-15,20,3. Sort,152,8
2026-08-15,20,4. EXP (ČS),152,8
2026-08-15,20,6. BJ (LT),27,8
2026-08-15,20,7. BJ (ČS),27,2
2026-08-15,21,1. Pick,749,17
2026-08-15,21,2. Pack,1639,2
2026-08-15,21,3. Sort,3496,90
2026-08-15,21,4. EXP (ČS),1,1
2026-08-15,21,5. EXP (DLT),153,9
2026-08-15,21,6. BJ (LT),390,14
2026-08-15,22,1. Pick,422,0
2026-08-15,22,2. Pack,680,0
2026-08-15,22,3. Sort,661,10
2026-08-15,22,4. EXP (ČS),3685,59
2026-08-15,22,5. EXP (DLT),1538,35
2026-08-15,22,6. BJ (LT),82,0
2026-08-15,22,7. BJ (ČS),369,3
2026-08-15,23,1. Pick,377,0
2026-08-15,23,3. Sort,423,6
2026-08-15,23,4. EXP (ČS),1064,174
2026-08-15,23,5. EXP (DLT),1663,23
2026-08-15,23,6. BJ (LT),10,0
2026-08-15,23,7. BJ (ČS),86,0
2026-08-16,0,1. Pick,27820,13
2026-08-16,0,2. Pack,482,0
2026-08-16,0,5. EXP (DLT),343,4
2026-08-16,1,1. Pick,34400,26
2026-08-16,1,2. Pack,61942,3927
2026-08-16,1,3. Sort,28047,156
2026-08-16,1,6. BJ (LT),938,58
2026-08-16,2,1. Pick,15229,43
2026-08-16,2,2. Pack,15016,2
2026-08-16,2,3. Sort,34400,1597
2026-08-16,2,4. EXP (ČS),28047,150
2026-08-16,2,5. EXP (DLT),28047,145
2026-08-16,2,6. BJ (LT),864,67
2026-08-16,2,7. BJ (ČS),936,61
2026-08-16,3,1. Pick,17482,2
2026-08-16,3,2. Pack,17718,28
2026-08-16,3,3. Sort,15077,44
2026-08-16,3,4. EXP (ČS),34400,207
2026-08-16,3,5. EXP (DLT),34400,194
2026-08-16,3,6. BJ (LT),383,44
2026-08-16,3,7. BJ (ČS),864,76
2026-08-16,4,1. Pick,23,0
2026-08-16,4,3. Sort,17482,66
2026-08-16,4,4. EXP (ČS),15218,53
2026-08-16,4,5. EXP (DLT),15080,53
2026-08-16,4,6. BJ (LT),356,28
2026-08-16,4,7. BJ (ČS),425,82
2026-08-16,5,1. Pick,688,0
2026-08-16,5,2. Pack,711,1
2026-08-16,5,3. Sort,99,0
2026-08-16,5,4. EXP (ČS),17341,73
2026-08-16,5,5. EXP (DLT),17479,73
2026-08-16,5,6. BJ (LT),73,23
2026-08-16,5,7. BJ (ČS),356,34
2026-08-16,6,1. Pick,33,0
2026-08-16,6,2. Pack,33,0
2026-08-16,6,3. Sort,533,4
2026-08-16,6,4. EXP (ČS),158,1
2026-08-16,6,5. EXP (DLT),158,1
2026-08-16,6,6. BJ (LT),78,55
2026-08-16,6,7. BJ (ČS),23,11
2026-08-16,7,1. Pick,71,0
2026-08-16,7,2. Pack,70,0
2026-08-16,7,3. Sort,294,6
2026-08-16,7,4. EXP (ČS),513,0
2026-08-16,7,5. EXP (DLT),513,0
2026-08-16,7,6. BJ (LT),11,9
2026-08-16,7,7. BJ (ČS),74,33
2026-08-16,8,1. Pick,1361,22
2026-08-16,8,2. Pack,293,2
2026-08-16,8,3. Sort,44,3
2026-08-16,8,4. EXP (ČS),250,16
2026-08-16,8,5. EXP (DLT),26,1
2026-08-16,8,7. BJ (ČS),2,0
2026-08-16,9,1. Pick,2631,3
2026-08-16,9,2. Pack,1088,0
2026-08-16,9,3. Sort,1336,6
2026-08-16,9,4. EXP (ČS),35,2
2026-08-16,9,5. EXP (DLT),68,2
2026-08-16,9,6. BJ (LT),260,18
2026-08-16,9,7. BJ (ČS),19,11
2026-08-16,10,1. Pick,1969,20
2026-08-16,10,2. Pack,2973,15
2026-08-16,10,3. Sort,41,0
2026-08-16,10,4. EXP (ČS),1347,2
2026-08-16,10,5. EXP (DLT),1347,2
2026-08-16,10,6. BJ (LT),3,0
2026-08-16,10,7. BJ (ČS),241,10
2026-08-16,11,1. Pick,1706,3
2026-08-16,11,2. Pack,1717,17
2026-08-16,11,3. Sort,3045,51
2026-08-16,11,4. EXP (ČS),35,0
2026-08-16,11,5. EXP (DLT),35,0
2026-08-16,11,6. BJ (LT),349,9
2026-08-16,11,7. BJ (ČS),3,0
2026-08-16,12,1. Pick,4312,3
2026-08-16,12,2. Pack,1850,7
2026-08-16,12,3. Sort,3236,27
2026-08-16,12,4. EXP (ČS),3060,40
2026-08-16,12,5. EXP (DLT),653,18
2026-08-16,12,6. BJ (LT),266,3
2026-08-16,12,7. BJ (ČS),349,8
2026-08-16,13,1. Pick,1040,0
2026-08-16,13,2. Pack,1205,1
2026-08-16,13,3. Sort,1374,16
2026-08-16,13,4. EXP (ČS),3374,24
2026-08-16,13,5. EXP (DLT),2640,39
2026-08-16,13,6. BJ (LT),117,4
2026-08-16,13,7. BJ (ČS),243,6
2026-08-16,14,1. Pick,7550,2
2026-08-16,14,2. Pack,1835,4
2026-08-16,14,3. Sort,111,3
2026-08-16,14,4. EXP (ČS),1420,6
2026-08-16,14,5. EXP (DLT),2533,24
2026-08-16,14,7. BJ (ČS),114,1
2026-08-16,15,1. Pick,463,15
2026-08-16,15,2. Pack,9746,3
2026-08-16,15,3. Sort,7531,37
2026-08-16,15,4. EXP (ČS),71,1
2026-08-16,15,5. EXP (DLT),903,4
2026-08-16,15,6. BJ (LT),397,113
2026-08-16,16,1. Pick,281,0
2026-08-16,16,2. Pack,363,15
2026-08-16,16,3. Sort,4059,97
2026-08-16,16,4. EXP (ČS),7532,36
2026-08-16,16,5. EXP (DLT),6057,27
2026-08-16,16,6. BJ (LT),355,27
2026-08-16,16,7. BJ (ČS),409,77
2026-08-16,17,1. Pick,28,0
2026-08-16,17,2. Pack,271,0
2026-08-16,17,3. Sort,274,6
2026-08-16,17,4. EXP (ČS),4037,100
2026-08-16,17,5. EXP (DLT),1821,17
2026-08-16,17,6. BJ (LT),34,3
2026-08-16,17,7. BJ (ČS),99,7
2026-08-16,18,1. Pick,43,1
2026-08-16,18,2. Pack,41,0
2026-08-16,18,3. Sort,331,1
2026-08-16,18,4. EXP (ČS),289,241
2026-08-16,18,5. EXP (DLT),3980,333
2026-08-16,18,6. BJ (LT),116,1
2026-08-16,18,7. BJ (ČS),34,34
2026-08-16,19,1. Pick,13,0
2026-08-16,19,2. Pack,16,0
2026-08-16,19,3. Sort,16,0
2026-08-16,19,4. EXP (ČS),306,138
2026-08-16,19,5. EXP (DLT),66,0
2026-08-16,19,7. BJ (ČS),116,57
2026-08-16,20,1. Pick,2663,19
2026-08-16,20,2. Pack,1403,16
2026-08-16,20,3. Sort,185,9
2026-08-16,20,4. EXP (ČS),185,9
2026-08-16,20,5. EXP (DLT),290,138
2026-08-16,20,6. BJ (LT),23,12
2026-08-16,20,7. BJ (ČS),23,1
2026-08-16,21,1. Pick,669,42
2026-08-16,21,2. Pack,1757,34
2026-08-16,21,3. Sort,2538,86
2026-08-16,21,5. EXP (DLT),185,9
2026-08-16,21,6. BJ (LT),223,44
2026-08-16,22,1. Pick,126,8
2026-08-16,22,2. Pack,298,3
2026-08-16,22,3. Sort,609,23
2026-08-16,22,4. EXP (ČS),2602,89
2026-08-16,22,5. EXP (DLT),1806,35
2026-08-16,22,6. BJ (LT),60,12
2026-08-16,22,7. BJ (ČS),226,19
2026-08-16,23,1. Pick,227,30
2026-08-16,23,3. Sort,126,10
2026-08-16,23,4. EXP (ČS),722,141
2026-08-16,23,5. EXP (DLT),2156,48
2026-08-16,23,7. BJ (ČS),57,9
2026-08-17,0,1. Pick,28146,25
2026-08-17,0,2. Pack,553,19
2026-08-17,0,5. EXP (DLT),282,4
2026-08-17,1,1. Pick,32940,6
2026-08-17,1,2. Pack,60842,1924
2026-08-17,1,3. Sort,28469,619
2026-08-17,1,6. BJ (LT),2255,121
2026-08-17,2,1. Pick,15773,70
2026-08-17,2,2. Pack,15563,25
2026-08-17,2,3. Sort,32940,1418
2026-08-17,2,4. EXP (ČS),28469,198
2026-08-17,2,5. EXP (DLT),28469,191
2026-08-17,2,6. BJ (LT),1595,77
2026-08-17,2,7. BJ (ČS),2258,123
2026-08-17,3,1. Pick,17039,4
2026-08-17,3,2. Pack,17263,37
2026-08-17,3,3. Sort,15609,56
2026-08-17,3,4. EXP (ČS),32940,51
2026-08-17,3,5. EXP (DLT),32940,51
2026-08-17,3,6. BJ (LT),1478,48
2026-08-17,3,7. BJ (ČS),1601,78
2026-08-17,4,1. Pick,22,0
2026-08-17,4,3. Sort,17039,45
2026-08-17,4,4. EXP (ČS),15759,77
2026-08-17,4,5. EXP (DLT),15609,77
2026-08-17,4,6. BJ (LT),1004,34
2026-08-17,4,7. BJ (ČS),1480,58
2026-08-17,5,1. Pick,600,0
2026-08-17,5,2. Pack,622,0
2026-08-17,5,3. Sort,76,0
2026-08-17,5,4. EXP (ČS),16889,51
2026-08-17,5,5. EXP (DLT),17039,51
2026-08-17,5,6. BJ (LT),11,2
2026-08-17,5,7. BJ (ČS),996,39
2026-08-17,6,1. Pick,35,2
2026-08-17,6,2. Pack,35,2
2026-08-17,6,3. Sort,612,4
2026-08-17,6,4. EXP (ČS),256,9
2026-08-17,6,5. EXP (DLT),256,2
2026-08-17,6,6. BJ (LT),36,4
2026-08-17,6,7. BJ (ČS),84,25
2026-08-17,7,1. Pick,111,0
2026-08-17,7,2. Pack,111,0
2026-08-17,7,3. Sort,296,9
2026-08-17,7,4. EXP (ČS),564,1
2026-08-17,7,5. EXP (DLT),564,1
2026-08-17,7,6. BJ (LT),23,13
2026-08-17,7,7. BJ (ČS),44,19
2026-08-17,8,1. Pick,1110,7
2026-08-17,8,2. Pack,370,0
2026-08-17,8,3. Sort,32,0
2026-08-17,8,4. EXP (ČS),203,28
2026-08-17,8,5. EXP (DLT),16,0
2026-08-17,8,7. BJ (ČS),5,0
2026-08-17,9,1. Pick,1192,2
2026-08-17,9,2. Pack,787,0
2026-08-17,9,3. Sort,1126,17
2026-08-17,9,4. EXP (ČS),71,1
2026-08-17,9,5. EXP (DLT),106,3
2026-08-17,9,6. BJ (LT),432,41
2026-08-17,9,7. BJ (ČS),43,36
2026-08-17,10,1. Pick,1951,61
2026-08-17,10,2. Pack,1590,153
2026-08-17,10,3. Sort,43,3
2026-08-17,10,4. EXP (ČS),1102,11
2026-08-17,10,5. EXP (DLT),1102,11
2026-08-17,10,6. BJ (LT),4,1
2026-08-17,10,7. BJ (ČS),404,68
2026-08-17,11,1. Pick,1806,0
2026-08-17,11,2. Pack,1600,16
2026-08-17,11,3. Sort,1650,199
2026-08-17,11,4. EXP (ČS),56,3
2026-08-17,11,5. EXP (DLT),56,3
2026-08-17,11,6. BJ (LT),257,75
2026-08-17,11,7. BJ (ČS),5,2
2026-08-17,12,1. Pick,3878,41
2026-08-17,12,2. Pack,1956,17
2026-08-17,12,3. Sort,3242,44
2026-08-17,12,4. EXP (ČS),1641,14
2026-08-17,12,5. EXP (DLT),658,20
2026-08-17,12,6. BJ (LT),331,1
2026-08-17,12,7. BJ (ČS),262,71
2026-08-17,13,1. Pick,556,32
2026-08-17,13,2. Pack,1365,2
2026-08-17,13,3. Sort,1532,19
2026-08-17,13,4. EXP (ČS),3354,30
2026-08-17,13,5. EXP (DLT),1181,9
2026-08-17,13,6. BJ (LT),185,28
2026-08-17,13,7. BJ (ČS),305,7
2026-08-17,14,1. Pick,7718,1
2026-08-17,14,2. Pack,1813,3
2026-08-17,14,3. Sort,101,1
2026-08-17,14,4. EXP (ČS),1557,18
2026-08-17,14,5. EXP (DLT),4353,35
2026-08-17,14,7. BJ (ČS),175,16
2026-08-17,15,1. Pick,388,2
2026-08-17,15,2. Pack,8838,5
2026-08-17,15,3. Sort,7698,54
2026-08-17,15,4. EXP (ČS),59,1
2026-08-17,15,5. EXP (DLT),539,1
2026-08-17,15,6. BJ (LT),1172,548
2026-08-17,16,1. Pick,232,2
2026-08-17,16,2. Pack,308,1
2026-08-17,16,3. Sort,3013,34
2026-08-17,16,4. EXP (ČS),7706,49
2026-08-17,16,5. EXP (DLT),6139,36
2026-08-17,16,6. BJ (LT),254,69
2026-08-17,16,7. BJ (ČS),1230,449
2026-08-17,17,1. Pick,26,1
2026-08-17,17,2. Pack,227,2
2026-08-17,17,3. Sort,228,11
2026-08-17,17,4. EXP (ČS),3004,35
2026-08-17,17,5. EXP (DLT),1870,33
2026-08-17,17,6. BJ (LT),29,1
2026-08-17,17,7. BJ (ČS),87,26
2026-08-17,18,1. Pick,14,0
2026-08-17,18,2. Pack,16,0
2026-08-17,18,3. Sort,205,1
2026-08-17,18,4. EXP (ČS),212,6
2026-08-17,18,5. EXP (DLT),2913,21
2026-08-17,18,6. BJ (LT),37,1
2026-08-17,18,7. BJ (ČS),29,1
2026-08-17,19,1. Pick,9,0
2026-08-17,19,2. Pack,10,0
2026-08-17,19,3. Sort,12,0
2026-08-17,19,4. EXP (ČS),204,1
2026-08-17,19,5. EXP (DLT),57,5
2026-08-17,19,7. BJ (ČS),40,4
2026-08-17,20,1. Pick,2733,53
2026-08-17,20,2. Pack,1526,10
2026-08-17,20,3. Sort,132,6
2026-08-17,20,4. EXP (ČS),132,8
2026-08-17,20,5. EXP (DLT),190,1
2026-08-17,20,6. BJ (LT),9,2
2026-08-17,20,7. BJ (ČS),9,1
2026-08-17,21,1. Pick,656,74
2026-08-17,21,2. Pack,1716,52
2026-08-17,21,3. Sort,2672,52
2026-08-17,21,5. EXP (DLT),132,7
2026-08-17,21,6. BJ (LT),315,21
2026-08-17,22,1. Pick,149,0
2026-08-17,22,2. Pack,296,31
2026-08-17,22,3. Sort,585,48
2026-08-17,22,4. EXP (ČS),2773,228
2026-08-17,22,5. EXP (DLT),1835,220
2026-08-17,22,6. BJ (LT),70,7
2026-08-17,22,7. BJ (ČS),325,57
2026-08-17,23,1. Pick,323,67
2026-08-17,23,3. Sort,149,7
2026-08-17,23,4. EXP (ČS),735,177
2026-08-17,23,5. EXP (DLT),1319,16
2026-08-17,23,6. BJ (LT),10,0
2026-08-17,23,7. BJ (ČS),86,12
2026-08-18,6,1. Pick,50,0
2026-08-18,6,2. Pack,50,1
2026-08-18,6,3. Sort,546,1
2026-08-18,6,4. EXP (ČS),201,0
2026-08-18,6,5. EXP (DLT),201,0
2026-08-18,6,6. BJ (LT),45,1
2026-08-18,6,7. BJ (ČS),23,6
2026-08-18,7,1. Pick,81,0
2026-08-18,7,2. Pack,80,0
2026-08-18,7,3. Sort,291,1
2026-08-18,7,4. EXP (ČS),497,0
2026-08-18,7,5. EXP (DLT),497,0
2026-08-18,7,6. BJ (LT),35,25
2026-08-18,7,7. BJ (ČS),64,32
2026-08-18,8,1. Pick,1040,1
2026-08-18,8,2. Pack,355,0
2026-08-18,8,3. Sort,45,1
2026-08-18,8,4. EXP (ČS),230,18
2026-08-18,8,5. EXP (DLT),16,0
2026-08-18,8,7. BJ (ČS),7,1
2026-08-18,9,1. Pick,1132,0
2026-08-18,9,2. Pack,747,0
2026-08-18,9,3. Sort,1054,10
2026-08-18,9,4. EXP (ČS),75,1
2026-08-18,9,5. EXP (DLT),125,1
2026-08-18,9,6. BJ (LT),346,27
2026-08-18,9,7. BJ (ČS),38,22
2026-08-18,10,1. Pick,1006,15
2026-08-18,10,2. Pack,1488,4
2026-08-18,10,3. Sort,52,4
2026-08-18,10,4. EXP (ČS),1051,3
2026-08-18,10,5. EXP (DLT),1051,3
2026-08-18,10,6. BJ (LT),4,0
2026-08-18,10,7. BJ (ČS),309,33
2026-08-18,11,1. Pick,2759,12
2026-08-18,11,2. Pack,694,9
2026-08-18,11,3. Sort,1539,66
2026-08-18,11,4. EXP (ČS),44,0
2026-08-18,11,5. EXP (DLT),44,0
2026-08-18,11,6. BJ (LT),235,11
2026-08-18,11,7. BJ (ČS),4,0
2026-08-18,12,1. Pick,3459,8
2026-08-18,12,2. Pack,2832,8
2026-08-18,12,3. Sort,3192,0
2026-08-18,12,4. EXP (ČS),1543,63
2026-08-18,12,5. EXP (DLT),649,5
2026-08-18,12,6. BJ (LT),571,0
2026-08-18,12,7. BJ (ČS),238,22
